agency_cd,site_no,measurement_nu,measurement_dt,tz_cd,q_meas_used_fg,party_nm,site_visit_coll_agency_cd,gage_height_va,discharge_va,measured_rating_diff,gage_va_change,gage_va_time,control_type_cd,discharge_cd
USGS,3171000,224,1973-05-28,,Yes,HDW/WEH,USGS,18.81,75200,Good,-1.22,1.5,,NONE
USGS,3171000,225,1973-10-11,,Yes,JMG/HDW,USGS,3.53,6660,Good,,,Clear,NONE
USGS,3171000,226,1974-01-15,,Yes,HDW/JMG,USGS,3.96,9360,Good,,,Clear,NONE
USGS,3171000,227,1974-04-17,,Yes,HDW/JMG,USGS,3.73,7780,Good,,,Clear,NONE
USGS,3171000,228,1974-10-11,,Yes,HDW/JMG,USGS,3.42,6390,Good,,,Clear,NONE
USGS,3171000,229,1975-01-15,,Yes,HDW/JMG,USGS,3.68,7260,Good,,,Clear,NONE
USGS,3171000,230,1975-04-09,,Yes,HDW/JMG,USGS,3.75,7780,Good,,,Clear,NONE
USGS,3171000,231,1975-07-15,,Yes,HDW/JMG,USGS,3.24,5630,Good,,,Clear,NONE
USGS,3171000,232,1975-10-17,,Yes,HDW/JMG,USGS,3.7,7280,Good,,,Clear,NONE
USGS,3171000,233,1976-01-15,,Yes,HDW/JMG,USGS,3.16,5510,Good,,,Clear,NONE
USGS,3171000,234,1976-04-14,,Yes,HDW/JMG,USGS,3.5,6790,Good,,,Clear,NONE
USGS,3171000,235,1976-07-16,,Yes,HDW/JMG,USGS,3.66,6940,Good,,,Clear,NONE
USGS,3171000,236,1976-10-29,,Yes,HDW/HGH,USGS,3.61,7080,Good,,,Clear,NONE
USGS,3171000,237,1977-02-25,,Yes,JMG/HGH,USGS,4.7,11800,Good,,,Clear,NONE
USGS,3171000,238,1977-05-16,,Yes,JMG/HGH,USGS,4.07,10300,Good,,,Clear,NONE
USGS,3171000,239,1977-10-31,,Yes,HDW/HGH,USGS,3.95,8150,Good,,,Clear,NONE
USGS,3171000,240,1978-03-07,,Yes,HDW/JMG,USGS,3.74,7660,Good,,,Clear,NONE
USGS,3171000,241,1978-07-17,,Yes,JMG/HGH,USGS,3.8,8180,Good,,,Clear,NONE
USGS,3171000,242,1978-10-11,,Yes,JMG/HGH,USGS,2.66,3620,Good,,,Clear,NONE
USGS,3171000,243,1979-03-07,,Yes,HGH/BRI,USGS,5.14,13300,Good,-0.29,1.3,,NONE
USGS,3171000,244,1979-05-08,,Yes,HGH/RMB,USGS,3.75,8100,Good,,,Clear,NONE
USGS,3171000,245,1979-10-02,,Yes,HGH/RCB,USGS,4.12,9530,Good,,,,NONE
USGS,3171000,246,1980-01-16,,Yes,JMG/HDW,USGS,3.8,7910,Fair,,,Clear,NONE
USGS,3171000,247,1980-06-03,,Yes,hh/b,USGS,3.18,5160,Fair,,,,NONE
USGS,3171000,248,1980-10-02,,Yes,hh/slw,USGS,3.24,5270,Good,,,,NONE
USGS,3171000,249,1981-01-08,,Yes,g/slw,USGS,2.24,2160,Fair,,,,NONE
USGS,3171000,250,1981-04-14,,Yes,g/hh,USGS,3.84,8660,Good,,,,NONE
USGS,3171000,251,1981-07-28,,Yes,slw/hh,USGS,2.88,3990,Unspecified,,,,NONE
USGS,3171000,252,1981-09-17,,Yes,hh,USGS,1.85,1120,Good,,,,NONE
USGS,3171000,253,1981-09-17,,Yes,hh,USGS,1.84,931,Good,,,,NONE
USGS,3171000,254,1982-02-23,,Yes,b/hh,USGS,3.38,6530,Good,,,,NONE
USGS,3171000,255,1982-06-02,,Yes,h/w,USGS,3.41,6160,Good,,,,NONE
USGS,3171000,256,1982-08-12,,Yes,h,USGS,1.85,1050,Good,,,,NONE
USGS,3171000,257,1982-08-12,,Yes,h,USGS,1.85,1040,Fair,,,,NONE
USGS,3171000,258,1982-10-13,,Yes,w/hh,USGS,3.98,8410,Good,,,,NONE
USGS,3171000,259,1983-01-11,,Yes,w/hh,USGS,3.97,8260,Fair,,,,NONE
USGS,3171000,260,1983-04-13,,Yes,w/hh,USGS,4.86,13600,Good,,,,NONE
USGS,3171000,261,1983-04-13,,Yes,w/hh,USGS,4.86,13300,Good,,,,NONE
USGS,3171000,262,1983-07-29,,Yes,w,USGS,1.8,811,Fair,,,,NONE
